symbol,name,profit,win,loss,trades,winRate
7011,三菱重工業,-150000,40,41,81,0.494
8306,三菱UFJ FG,-92900,40,37,77,0.519
6758,ソニーグループ,-53200,34,42,76,0.447
6976,太陽誘電,-100,35,24,59,0.593
6526,ソシオネクスト,0,0,0,0,0.000
6920,レーザーテック,0,0,0,0,0.000
6857,アドバンテスト,0,0,0,0,0.000
9107,川崎汽船,0,0,0,0,0.000
9984,ソフトバンクグループ,0,0,0,0,0.000
8035,東京エレクトロン,0,0,0,0,0.000
4568,第一三共,0,0,0,0,0.000
285A,キオクシアHD,0,0,0,0,0.000
5803,フジクラ,0,0,0,0,0.000
5016,JX金属,0,0,0,0,0.000
8316,三井住友FG,0,0,0,0,0.000
6723,ルネサスエレクトロニクス,0,0,0,0,0.000
7203,トヨタ自動車,0,0,0,0,0.000
3778,さくらインターネット,300,41,29,70,0.586
6981,村田製作所,96400,45,37,82,0.549
3436,SUMCO,142200,37,30,67,0.552
