date,symbol,name,direction,entryTime,exitTime,entryPrice,exitPrice,profit,profitPct,holdBars,stopReason,regime
2026-03-04,6981,村田製作所,short,10:24,10:34,3655,3657,-800,-0.055,10,"空売り同値損切り",down
2026-03-04,6976,太陽誘電,short,10:25,10:34,4227,4251,-7200,-0.568,9,"空売り損切り",down
2026-03-04,6976,太陽誘電,short,11:19,11:20,4216,4220,-1200,-0.095,1,"昼休み前強制決済",down
2026-03-04,6976,太陽誘電,short,11:20,11:21,4220,4227,-2100,-0.166,1,"昼休み前強制決済",down
2026-03-05,6976,太陽誘電,short,11:29,11:30,4311,4315,-1200,-0.093,1,"昼休み前強制決済",neutral
2026-03-05,3436,SUMCO,short,10:57,11:20,1690,1691,-800,-0.059,23,"昼休み前強制決済",neutral
2026-03-05,3436,SUMCO,short,11:26,11:27,1685,1686,-400,-0.030,1,"昼休み前強制決済",neutral
2026-03-09,3778,さくらインターネット,short,09:52,10:17,2860,2862,-1000,-0.070,25,"空売り同値損切り",down
2026-03-09,3778,さくらインターネット,short,10:51,11:10,2837,2838,-500,-0.035,18,"空売り同値損切り",down
2026-03-12,3778,さくらインターネット,short,11:08,11:20,2921,2927,-3000,-0.205,12,"昼休み前強制決済",neutral
2026-03-12,6981,村田製作所,short,11:26,11:27,3687,3688,-300,-0.027,1,"昼休み前強制決済",neutral
2026-03-13,3778,さくらインターネット,long,09:59,11:20,2838,2813,-12500,-0.881,81,"昼休み前強制決済",up
2026-03-17,3778,さくらインターネット,short,11:12,11:21,2753,2760,-3500,-0.254,8,"昼休み前強制決済",down
2026-03-17,6981,村田製作所,short,09:57,10:12,3671,3695,-9600,-0.654,15,"空売り損切り",down
2026-03-17,3436,SUMCO,short,10:12,10:28,1674,1676,-1200,-0.090,16,"空売り同値損切り",down
2026-03-23,3436,SUMCO,short,10:00,10:06,1549,1564,-13950,-1.001,6,"空売り損切り",down
2026-03-24,3778,さくらインターネット,short,11:22,11:23,2717,2718,-500,-0.037,1,"昼休み前強制決済",down
2026-03-24,6981,村田製作所,short,09:52,10:22,3575,3576,-400,-0.028,30,"空売り同値損切り",down
