stopPercent,totalProfit,avgPerDay,medianPerDay,winRate,posDays,negDays,worstDay,daysOver15k,totalTrades
0.3,120800,2013,0,0.4779,29,29,-72400,15,542
0.35,37950,633,-2550,0.4907,27,31,-72400,15,536
0.4,28050,468,-3350,0.5000,27,31,-72400,15,532
0.45,108800,1813,-4750,0.5142,26,32,-72400,15,529
0.5,107550,1793,-1700,0.5180,27,31,-72400,15,527
0.55,122250,2038,-1700,0.5249,27,31,-72400,17,522
0.6,89450,1491,-3100,0.5268,26,32,-72400,17,522
0.65,119600,1993,-1400,0.5287,28,30,-72400,18,522
0.7,94750,1579,-4100,0.5317,24,33,-74800,18,521
0.75,91700,1528,-3000,0.5317,25,32,-75200,18,521
0.8,83700,1395,-4200,0.5317,25,33,-77000,18,521
0.85,28900,482,-5300,0.5299,24,34,-72400,16,519
