date,symbol,name,entryTime,entryType,entryPrice,exitTime,exitType,exitPrice,shares,profit,profitRate,exitReason
2026-06-01,6981,村田製作所,11:23,buy,11045,12:35,sell,10785,100,-26000,-0.0235,"損切り (2%下落) (入荷:11045.0→現在:10785.0)"
2026-06-01,3436,SUMCO,09:56,buy,4210,10:27,sell,4248,300,11400,0.0090,"トレイリング利確 (ピーク:4272.0から0.5%下落) (入荷:4210.0→現在:4248.0)"
2026-06-01,3436,SUMCO,10:53,buy,4333,11:28,sell,4349,300,4800,0.0037,"トレイリング利確 (ピーク:4394.0から0.5%下落) (入荷:4333.0→現在:4349.0)"
2026-06-02,3778,さくらインターネット,10:59,short,2875,12:58,cover,2888,500,-6500,-0.0045,"空売り買い戻し: 最大保有時間超過 (60本保有, エントリー:2875.0→2888.0)"
2026-06-02,3436,SUMCO,10:59,short,4053,11:10,cover,4055,300,-600,-0.0005,"空売り同値損切り (建値ストップ) (エントリー:4053.0 → 4055.0)"
2026-06-03,3778,さくらインターネット,11:10,buy,2948,13:25,sell,2950,400,800,0.0007,"RSI買われすぎ+BB上限 (RSI:70.7, BB上:2942.0)"
2026-06-03,6981,村田製作所,11:02,buy,10570,11:28,sell,10570,100,0,0.0000,"同値損切り (建値ストップ) (入荷:10570.0→現在:10570.0)"
2026-06-03,3436,SUMCO,10:05,buy,4465,11:08,sell,4497,300,9600,0.0072,"トレイリング利確 (ピーク:4538.0から0.5%下落) (入荷:4465.0→現在:4497.0)"
2026-06-04,3778,さくらインターネット,10:03,buy,2853,10:40,sell,2871,500,9000,0.0063,"トレイリング利確 (ピーク:2887.0から0.5%下落) (入荷:2853.0→現在:2871.0)"
2026-06-04,3778,さくらインターネット,11:28,buy,2907,14:55,sell,2918,500,5500,0.0038,"RSI買われすぎ+BB上限 (RSI:71.4, BB上:2916.2)"
2026-06-04,6981,村田製作所,10:00,short,10050,11:00,cover,10025,100,2500,0.0025,"空売り買い戻し: 最大保有時間超過 (60本保有, エントリー:10050.0→10025.0)"
2026-06-04,6981,村田製作所,11:16,short,9912,13:15,cover,10080,100,-16800,-0.0169,"空売り買い戻し: 最大保有時間超過 (60本保有, エントリー:9912.0→10080.0)"
2026-06-04,3436,SUMCO,10:13,buy,4356,10:27,sell,4264,300,-27600,-0.0211,"損切り (2%下落) (入荷:4356.0→現在:4264.0)"
2026-06-05,3778,さくらインターネット,10:23,short,2917,11:21,cover,2914,500,1500,0.0010,"空売り買い戻し: ゴールデンクロス (MA5:2911.2 > MA25:2909.6)"
2026-06-05,6981,村田製作所,11:23,buy,9846,12:30,sell,9809,100,-3700,-0.0038,"同値損切り (建値ストップ) (入荷:9846.0→現在:9809.0)"
2026-06-05,3436,SUMCO,10:08,short,3906,10:35,cover,3884,300,6600,0.0056,"空売り買い戻し: ゴールデンクロス (MA5:3889.0 > MA25:3888.2)"
2026-06-05,3436,SUMCO,11:11,buy,3989,12:46,sell,4026,300,11100,0.0093,"トレイリング利確 (ピーク:4060.0から0.5%下落) (入荷:3989.0→現在:4026.0)"
