date,marketEfficiency,rangeBoundDay,totalProfit,winCount,lossCount,winRate
2026-05-07,0.502,false,0,0,0,0.000
2026-05-08,0.530,false,0,0,0,0.000
2026-05-11,0.553,false,-900,0,1,0.000
2026-05-12,0.366,false,0,0,0,0.000
2026-05-13,0.539,false,-900,0,1,0.000
2026-05-14,0.518,false,0,0,0,0.000
2026-05-15,0.587,false,0,0,0,0.000
2026-05-18,0.446,false,0,0,0,0.000
2026-05-19,0.676,false,0,0,0,0.000
2026-05-20,0.339,false,10800,1,0,1.000
2026-05-21,0.483,false,0,0,0,0.000
2026-05-22,0.421,false,0,0,0,0.000
2026-05-25,0.543,false,0,0,0,0.000
2026-05-26,0.428,false,-8000,0,1,0.000
2026-05-27,0.615,false,0,0,0,0.000
2026-05-28,0.348,false,0,0,0,0.000
2026-05-29,0.453,false,-9400,0,2,0.000
2026-06-01,0.611,false,0,0,0,0.000
2026-06-02,0.331,false,-2000,0,1,0.000
2026-06-03,0.409,false,0,0,0,0.000
